DensityFile,DensityFolder,Time,Lon,Lat,SnowThickness,Freeboard,IceThickness,MinDepth,MaxDepth,LabTemperature,DensitySalinity,Density,DensityDepth,InterpolatedSalinity,InterpolatedTemperature,SalinityFile,TemperatureFile,SalinityIceThickness,TemperatureIceThickness
Q2_2021_P5_main_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\Q2-2021_v2.0\Q2-2021_v2.0\density\processed,08-May-2021 06:58:00,33.6152,80.5498,0.227,0.02,0.525,0.35,0.42,NaN,NaN,909.1316247,0.385,4.436,-2.87733333333333,Q2_2021_P5_main_salinity.csv,Q2_2021_P5_main_temperature.csv,0.49,0.49
Q2_2021_P5_main_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\Q2-2021_v2.0\Q2-2021_v2.0\density\processed,08-May-2021 06:58:00,33.6152,80.5498,0.227,0.02,0.525,0.42,0.49,NaN,NaN,905.8606821,0.455,3.84842105263158,-2.61866666666667,Q2_2021_P5_main_salinity.csv,Q2_2021_P5_main_temperature.csv,0.49,0.49
Q2_2021_P5_main_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\Q2-2021_v2.0\Q2-2021_v2.0\density\processed,08-May-2021 06:58:00,33.6152,80.5498,0.227,0.02,0.525,0.49,0.56,NaN,NaN,910.1172043,0.525,3.2,-2.4,Q2_2021_P5_main_salinity.csv,Q2_2021_P5_main_temperature.csv,0.49,0.49
Q2_2021_P6_main_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\Q2-2021_v2.0\Q2-2021_v2.0\density\processed,09-May-2021 00:00:00,30.8281,81.5629,0.23,0.075,1.18,0,0.075,20.4,9.7,899.0353505,0.0375,6.84438559322034,-4.18103813559322,Q2_2021_P6_main_salinity.csv,Q2_2021_P6_main_temperature.csv,1.055,1.055
Q2_2021_P6_main_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\Q2-2021_v2.0\Q2-2021_v2.0\density\processed,09-May-2021 00:00:00,30.8281,81.5629,0.23,0.075,1.18,0.075,0.14,20.4,8.1,893.0475471,0.1075,5.36822033898305,-4.0523093220339,Q2_2021_P6_main_salinity.csv,Q2_2021_P6_main_temperature.csv,1.055,1.055
Q2_2021_P6_main_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\Q2-2021_v2.0\Q2-2021_v2.0\density\processed,09-May-2021 00:00:00,30.8281,81.5629,0.23,0.075,1.18,0.14,0.21,20.6,8,914.122567,0.175,4.22563559322034,-3.96408898305085,Q2_2021_P6_main_salinity.csv,Q2_2021_P6_main_temperature.csv,1.055,1.055
Q2_2021_P6_main_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\Q2-2021_v2.0\Q2-2021_v2.0\density\processed,09-May-2021 00:00:00,30.8281,81.5629,0.23,0.075,1.18,0.21,0.28,20.4,7.2,910.3036429,0.245,3.47076271186441,-3.89972457627119,Q2_2021_P6_main_salinity.csv,Q2_2021_P6_main_temperature.csv,1.055,1.055
Q2_2021_P6_main_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\Q2-2021_v2.0\Q2-2021_v2.0\density\processed,09-May-2021 00:00:00,30.8281,81.5629,0.23,0.075,1.18,0.28,0.35,19.8,4.8,917.5176694,0.315,2.91779661016949,-3.83536016949153,Q2_2021_P6_main_salinity.csv,Q2_2021_P6_main_temperature.csv,1.055,1.055
Q2_2021_P6_main_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\Q2-2021_v2.0\Q2-2021_v2.0\density\processed,09-May-2021 00:00:00,30.8281,81.5629,0.23,0.075,1.18,0.35,0.42,19.7,2.8,908.3734603,0.385,3.92097457627119,-3.71298728813559,Q2_2021_P6_main_salinity.csv,Q2_2021_P6_main_temperature.csv,1.055,1.055
Q2_2021_P6_main_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\Q2-2021_v2.0\Q2-2021_v2.0\density\processed,09-May-2021 00:00:00,30.8281,81.5629,0.23,0.075,1.18,0.42,0.49,20,3.4,896.9862107,0.455,5.98093220338983,-3.51989406779661,Q2_2021_P6_main_salinity.csv,Q2_2021_P6_main_temperature.csv,1.055,1.055
Q2_2021_P6_main_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\Q2-2021_v2.0\Q2-2021_v2.0\density\processed,09-May-2021 00:00:00,30.8281,81.5629,0.23,0.075,1.18,0.49,0.56,20.1,3.3,896.542475,0.525,5.03516949152542,-3.32680084745763,Q2_2021_P6_main_salinity.csv,Q2_2021_P6_main_temperature.csv,1.055,1.055
Q2_2021_P6_main_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\Q2-2021_v2.0\Q2-2021_v2.0\density\processed,09-May-2021 00:00:00,30.8281,81.5629,0.23,0.075,1.18,0.56,0.63,20.4,3.6,905.8702243,0.595,5.39957627118644,-3.08951271186441,Q2_2021_P6_main_salinity.csv,Q2_2021_P6_main_temperature.csv,1.055,1.055
Q2_2021_P6_main_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\Q2-2021_v2.0\Q2-2021_v2.0\density\processed,09-May-2021 00:00:00,30.8281,81.5629,0.23,0.075,1.18,0.63,0.7,20.5,3.6,910.7597411,0.665,5.8,-2.7676906779661,Q2_2021_P6_main_salinity.csv,Q2_2021_P6_main_temperature.csv,1.055,1.055
